Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 4.36 (s),   Velocity: 2.49 (m/s),   Accel:   1.00 (m/s/s),   X:  7.81 (m),   Y:  0.80 (m),   Rot:  0.3608 (rads),   Rot:   20.67 (deg),   Curve:    0.86 (rads/m)
Time: 4.38 (s),   Velocity: 2.52 (m/s),   Accel:   1.00 (m/s/s),   X:  7.86 (m),   Y:  0.82 (m),   Rot:  0.4087 (rads),   Rot:   23.42 (deg),   Curve:    0.79 (rads/m)
Time: 4.40 (s),   Velocity: 2.54 (m/s),   Accel:   1.00 (m/s/s),   X:  7.92 (m),   Y:  0.85 (m),   Rot:  0.4538 (rads),   Rot:   26.00 (deg),   Curve:    0.74 (rads/m)
Time: 4.43 (s),   Velocity: 2.56 (m/s),   Accel:   1.00 (m/s/s),   X:  7.97 (m),   Y:  0.87 (m),   Rot:  0.4969 (rads),   Rot:   28.47 (deg),   Curve:    0.70 (rads/m)
Time: 4.48 (s),   Velocity: 2.61 (m/s),   Accel:   1.00 (m/s/s),   X:  8.08 (m),   Y:  0.94 (m),   Rot:  0.5787 (rads),   Rot:   33.15 (deg),   Curve:    0.65 (rads/m)
Time: 4.52 (s),   Velocity: 2.66 (m/s),   Accel:   1.00 (m/s/s),   X:  8.18 (m),   Y:  1.01 (m),   Rot:  0.6576 (rads),   Rot:   37.68 (deg),   Curve:    0.63 (rads/m)
Time: 4.57 (s),   Velocity: 2.71 (m/s),   Accel:   1.00 (m/s/s),   X:  8.27 (m),   Y:  1.09 (m),   Rot:  0.7371 (rads),   Rot:   42.23 (deg),   Curve:    0.65 (rads/m)
Time: 4.61 (s),   Velocity: 2.75 (m/s),   Accel:   1.00 (m/s/s),   X:  8.36 (m),   Y:  1.18 (m),   Rot:  0.8202 (rads),   Rot:   47.00 (deg),   Curve:    0.70 (rads/m)
Time: 4.64 (s),   Velocity: 2.77 (m/s),   Accel:   1.00 (m/s/s),   X:  8.40 (m),   Y:  1.22 (m),   Rot:  0.8642 (rads),   Rot:   49.51 (deg),   Curve:    0.74 (rads/m)
Time: 4.66 (s),   Velocity: 2.80 (m/s),   Accel:   1.00 (m/s/s),   X:  8.44 (m),   Y:  1.27 (m),   Rot:  0.9103 (rads),   Rot:   52.16 (deg),   Curve:    0.78 (rads/m)
Time: 4.68 (s),   Velocity: 2.82 (m/s),   Accel:   1.00 (m/s/s),   X:  8.48 (m),   Y:  1.32 (m),   Rot:  0.9592 (rads),   Rot:   54.96 (deg),   Curve:    0.84 (rads/m)
