Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 1.20 (s),   Velocity: 3.60 (m/s),   Accel:   3.00 (m/s/s),   X:  2.53 (m),   Y:  0.60 (m),   Rot: -0.0955 (rads),   Rot:   -5.47 (deg),   Curve:    0.03 (rads/m)
Time: 1.22 (s),   Velocity: 3.66 (m/s),   Accel:   3.00 (m/s/s),   X:  2.61 (m),   Y:  0.60 (m),   Rot: -0.0929 (rads),   Rot:   -5.32 (deg),   Curve:    0.04 (rads/m)
Time: 1.24 (s),   Velocity: 3.72 (m/s),   Accel:   3.00 (m/s/s),   X:  2.68 (m),   Y:  0.59 (m),   Rot: -0.0899 (rads),   Rot:   -5.15 (deg),   Curve:    0.05 (rads/m)
Time: 1.26 (s),   Velocity: 3.78 (m/s),   Accel:   3.00 (m/s/s),   X:  2.75 (m),   Y:  0.58 (m),   Rot: -0.0863 (rads),   Rot:   -4.95 (deg),   Curve:    0.05 (rads/m)
Time: 1.28 (s),   Velocity: 3.83 (m/s),   Accel:   3.00 (m/s/s),   X:  2.82 (m),   Y:  0.58 (m),   Rot: -0.0823 (rads),   Rot:   -4.71 (deg),   Curve:    0.06 (rads/m)
Time: 1.29 (s),   Velocity: 3.88 (m/s),   Accel:   3.00 (m/s/s),   X:  2.89 (m),   Y:  0.57 (m),   Rot: -0.0777 (rads),   Rot:   -4.45 (deg),   Curve:    0.07 (rads/m)
Time: 1.31 (s),   Velocity: 3.94 (m/s),   Accel:   3.00 (m/s/s),   X:  2.96 (m),   Y:  0.57 (m),   Rot: -0.0725 (rads),   Rot:   -4.15 (deg),   Curve:    0.08 (rads/m)
Time: 1.33 (s),   Velocity: 3.99 (m/s),   Accel:   3.00 (m/s/s),   X:  3.02 (m),   Y:  0.56 (m),   Rot: -0.0667 (rads),   Rot:   -3.82 (deg),   Curve:    0.09 (rads/m)
Time: 1.35 (s),   Velocity: 4.04 (m/s),   Accel:   3.00 (m/s/s),   X:  3.09 (m),   Y:  0.56 (m),   Rot: -0.0604 (rads),   Rot:   -3.46 (deg),   Curve:    0.10 (rads/m)
Time: 1.36 (s),   Velocity: 4.09 (m/s),   Accel:   3.00 (m/s/s),   X:  3.16 (m),   Y:  0.55 (m),   Rot: -0.0534 (rads),   Rot:   -3.06 (deg),   Curve:    0.11 (rads/m)
Time: 1.38 (s),   Velocity: 4.14 (m/s),   Accel:   3.00 (m/s/s),   X:  3.22 (m),   Y:  0.55 (m),   Rot: -0.0457 (rads),   Rot:   -2.62 (deg),   Curve:    0.12 (rads/m)
Time: 1.39 (s),   Velocity: 4.18 (m/s),   Accel:   0.30 (m/s/s),   X:  3.29 (m),   Y:  0.55 (m),   Rot: -0.0374 (rads),   Rot:   -2.14 (deg),   Curve:    0.14 (rads/m)
Time: 1.41 (s),   Velocity: 4.19 (m/s),   Accel:  -3.00 (m/s/s),   X:  3.35 (m),   Y:  0.55 (m),   Rot: -0.0282 (rads),   Rot:   -1.62 (deg),   Curve:    0.15 (rads/m)
Time: 1.44 (s),   Velocity: 4.10 (m/s),   Accel:  -3.00 (m/s/s),   X:  3.48 (m),   Y:  0.54 (m),   Rot: -0.0076 (rads),   Rot:   -0.44 (deg),   Curve:    0.18 (rads/m)
Time: 1.47 (s),   Velocity: 4.01 (m/s),   Accel:  -3.00 (m/s/s),   X:  3.60 (m),   Y:  0.54 (m),   Rot:  0.0165 (rads),   Rot:    0.94 (deg),   Curve:    0.22 (rads/m)
Time: 1.50 (s),   Velocity: 3.92 (m/s),   Accel:  -3.00 (m/s/s),   X:  3.72 (m),   Y:  0.55 (m),   Rot:  0.0445 (rads),   Rot:    2.55 (deg),   Curve:    0.26 (rads/m)
Time: 1.53 (s),   Velocity: 3.83 (m/s),   Accel:  -3.00 (m/s/s),   X:  3.83 (m),   Y:  0.56 (m),   Rot:  0.0770 (rads),   Rot:    4.41 (deg),   Curve:    0.31 (rads/m)
Time: 1.56 (s),   Velocity: 3.74 (m/s),   Accel:  -3.00 (m/s/s),   X:  3.94 (m),   Y:  0.57 (m),   Rot:  0.1144 (rads),   Rot:    6.55 (deg),   Curve:    0.37 (rads/m)
Time: 1.59 (s),   Velocity: 3.66 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.05 (m),   Y:  0.58 (m),   Rot:  0.1574 (rads),   Rot:    9.02 (deg),   Curve:    0.44 (rads/m)
Time: 1.61 (s),   Velocity: 3.57 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.15 (m),   Y:  0.60 (m),   Rot:  0.2068 (rads),   Rot:   11.85 (deg),   Curve:    0.53 (rads/m)
Time: 1.64 (s),   Velocity: 3.49 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.24 (m),   Y:  0.62 (m),   Rot:  0.2632 (rads),   Rot:   15.08 (deg),   Curve:    0.62 (rads/m)
