Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 2.84 (s),   Velocity: 1.87 (m/s),   Accel:   3.00 (m/s/s),   X:  4.62 (m),   Y:  3.83 (m),   Rot:  0.3067 (rads),   Rot:   17.57 (deg),   Curve:   -2.76 (rads/m)
Time: 2.85 (s),   Velocity: 1.90 (m/s),   Accel:   3.00 (m/s/s),   X:  4.64 (m),   Y:  3.84 (m),   Rot:  0.2567 (rads),   Rot:   14.71 (deg),   Curve:   -2.43 (rads/m)
Time: 2.87 (s),   Velocity: 1.96 (m/s),   Accel:   3.00 (m/s/s),   X:  4.68 (m),   Y:  3.84 (m),   Rot:  0.1709 (rads),   Rot:    9.79 (deg),   Curve:   -1.85 (rads/m)
Time: 2.90 (s),   Velocity: 2.03 (m/s),   Accel:   3.00 (m/s/s),   X:  4.72 (m),   Y:  3.85 (m),   Rot:  0.1018 (rads),   Rot:    5.83 (deg),   Curve:   -1.40 (rads/m)
Time: 2.92 (s),   Velocity: 2.09 (m/s),   Accel:   3.00 (m/s/s),   X:  4.77 (m),   Y:  3.85 (m),   Rot:  0.0467 (rads),   Rot:    2.67 (deg),   Curve:   -1.05 (rads/m)
Time: 2.94 (s),   Velocity: 2.16 (m/s),   Accel:   3.00 (m/s/s),   X:  4.82 (m),   Y:  3.85 (m),   Rot:  0.0032 (rads),   Rot:    0.18 (deg),   Curve:   -0.78 (rads/m)
Time: 2.99 (s),   Velocity: 2.30 (m/s),   Accel:   3.00 (m/s/s),   X:  4.92 (m),   Y:  3.85 (m),   Rot: -0.0564 (rads),   Rot:   -3.23 (deg),   Curve:   -0.41 (rads/m)
Time: 3.03 (s),   Velocity: 2.44 (m/s),   Accel:   3.00 (m/s/s),   X:  5.03 (m),   Y:  3.84 (m),   Rot: -0.0882 (rads),   Rot:   -5.05 (deg),   Curve:   -0.18 (rads/m)
Time: 3.08 (s),   Velocity: 2.58 (m/s),   Accel:   3.00 (m/s/s),   X:  5.15 (m),   Y:  3.83 (m),   Rot: -0.0986 (rads),   Rot:   -5.65 (deg),   Curve:   -0.01 (rads/m)
Time: 3.13 (s),   Velocity: 2.72 (m/s),   Accel:   3.00 (m/s/s),   X:  5.27 (m),   Y:  3.82 (m),   Rot: -0.0914 (rads),   Rot:   -5.24 (deg),   Curve:    0.12 (rads/m)
Time: 3.15 (s),   Velocity: 2.79 (m/s),   Accel:   3.00 (m/s/s),   X:  5.34 (m),   Y:  3.81 (m),   Rot: -0.0817 (rads),   Rot:   -4.68 (deg),   Curve:    0.18 (rads/m)
Time: 3.17 (s),   Velocity: 2.86 (m/s),   Accel:   3.00 (m/s/s),   X:  5.40 (m),   Y:  3.81 (m),   Rot: -0.0681 (rads),   Rot:   -3.90 (deg),   Curve:    0.24 (rads/m)
Time: 3.20 (s),   Velocity: 2.93 (m/s),   Accel:   3.00 (m/s/s),   X:  5.47 (m),   Y:  3.81 (m),   Rot: -0.0532 (rads),   Rot:   -3.05 (deg),   Curve:    0.22 (rads/m)
Time: 3.22 (s),   Velocity: 2.99 (m/s),   Accel:   3.00 (m/s/s),   X:  5.53 (m),   Y:  3.80 (m),   Rot: -0.0396 (rads),   Rot:   -2.27 (deg),   Curve:    0.19 (rads/m)
Time: 3.24 (s),   Velocity: 3.06 (m/s),   Accel:   3.00 (m/s/s),   X:  5.60 (m),   Y:  3.80 (m),   Rot: -0.0275 (rads),   Rot:   -1.58 (deg),   Curve:    0.17 (rads/m)
Time: 3.26 (s),   Velocity: 3.13 (m/s),   Accel:   3.00 (m/s/s),   X:  5.67 (m),   Y:  3.80 (m),   Rot: -0.0169 (rads),   Rot:   -0.97 (deg),   Curve:    0.14 (rads/m)
Time: 3.28 (s),   Velocity: 3.19 (m/s),   Accel:   3.00 (m/s/s),   X:  5.74 (m),   Y:  3.80 (m),   Rot: -0.0078 (rads),   Rot:   -0.45 (deg),   Curve:    0.12 (rads/m)
Time: 3.31 (s),   Velocity: 3.26 (m/s),   Accel:   3.00 (m/s/s),   X:  5.81 (m),   Y:  3.80 (m),   Rot: -0.0002 (rads),   Rot:   -0.01 (deg),   Curve:    0.09 (rads/m)
Time: 3.33 (s),   Velocity: 3.33 (m/s),   Accel:   3.00 (m/s/s),   X:  5.88 (m),   Y:  3.80 (m),   Rot:  0.0059 (rads),   Rot:    0.34 (deg),   Curve:    0.07 (rads/m)
Time: 3.35 (s),   Velocity: 3.40 (m/s),   Accel:   3.00 (m/s/s),   X:  5.96 (m),   Y:  3.80 (m),   Rot:  0.0105 (rads),   Rot:    0.60 (deg),   Curve:    0.05 (rads/m)
Time: 3.38 (s),   Velocity: 3.47 (m/s),   Accel:   3.00 (m/s/s),   X:  6.04 (m),   Y:  3.80 (m),   Rot:  0.0139 (rads),   Rot:    0.80 (deg),   Curve:    0.03 (rads/m)
Time: 3.40 (s),   Velocity: 3.54 (m/s),   Accel:   3.00 (m/s/s),   X:  6.12 (m),   Y:  3.80 (m),   Rot:  0.0161 (rads),   Rot:    0.92 (deg),   Curve:    0.02 (rads/m)
Time: 3.42 (s),   Velocity: 3.61 (m/s),   Accel:   3.00 (m/s/s),   X:  6.21 (m),   Y:  3.80 (m),   Rot:  0.0172 (rads),   Rot:    0.98 (deg),   Curve:    0.01 (rads/m)
Time: 3.45 (s),   Velocity: 3.68 (m/s),   Accel:   3.00 (m/s/s),   X:  6.30 (m),   Y:  3.80 (m),   Rot:  0.0173 (rads),   Rot:    0.99 (deg),   Curve:   -0.00 (rads/m)
Time: 3.47 (s),   Velocity: 3.76 (m/s),   Accel:   3.00 (m/s/s),   X:  6.39 (m),   Y:  3.81 (m),   Rot:  0.0165 (rads),   Rot:    0.95 (deg),   Curve:   -0.01 (rads/m)
Time: 3.50 (s),   Velocity: 3.84 (m/s),   Accel:  -1.62 (m/s/s),   X:  6.49 (m),   Y:  3.81 (m),   Rot:  0.0150 (rads),   Rot:    0.86 (deg),   Curve:   -0.02 (rads/m)
Time: 3.53 (s),   Velocity: 3.79 (m/s),   Accel:  -3.00 (m/s/s),   X:  6.59 (m),   Y:  3.81 (m),   Rot:  0.0128 (rads),   Rot:    0.73 (deg),   Curve:   -0.02 (rads/m)
Time: 3.55 (s),   Velocity: 3.71 (m/s),   Accel:  -3.00 (m/s/s),   X:  6.70 (m),   Y:  3.81 (m),   Rot:  0.0101 (rads),   Rot:    0.58 (deg),   Curve:   -0.03 (rads/m)
Time: 3.59 (s),   Velocity: 3.62 (m/s),   Accel:  -3.00 (m/s/s),   X:  6.81 (m),   Y:  3.81 (m),   Rot:  0.0074 (rads),   Rot:    0.42 (deg),   Curve:   -0.02 (rads/m)
Time: 3.62 (s),   Velocity: 3.52 (m/s),   Accel:  -3.00 (m/s/s),   X:  6.93 (m),   Y:  3.81 (m),   Rot:  0.0051 (rads),   Rot:    0.29 (deg),   Curve:   -0.02 (rads/m)
Time: 3.65 (s),   Velocity: 3.41 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.05 (m),   Y:  3.81 (m),   Rot:  0.0032 (rads),   Rot:    0.18 (deg),   Curve:   -0.01 (rads/m)
Time: 3.69 (s),   Velocity: 3.30 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.17 (m),   Y:  3.81 (m),   Rot:  0.0016 (rads),   Rot:    0.09 (deg),   Curve:   -0.01 (rads/m)
Time: 3.71 (s),   Velocity: 3.24 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.24 (m),   Y:  3.81 (m),   Rot:  0.0010 (rads),   Rot:    0.05 (deg),   Curve:   -0.01 (rads/m)
Time: 3.73 (s),   Velocity: 3.18 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.31 (m),   Y:  3.81 (m),   Rot:  0.0004 (rads),   Rot:    0.02 (deg),   Curve:   -0.01 (rads/m)
Time: 3.75 (s),   Velocity: 3.12 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.37 (m),   Y:  3.81 (m),   Rot: -0.0002 (rads),   Rot:   -0.01 (deg),   Curve:   -0.01 (rads/m)
Time: 3.77 (s),   Velocity: 3.05 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.44 (m),   Y:  3.81 (m),   Rot: -0.0006 (rads),   Rot:   -0.04 (deg),   Curve:   -0.01 (rads/m)
Time: 3.80 (s),   Velocity: 2.98 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.51 (m),   Y:  3.81 (m),   Rot: -0.0010 (rads),   Rot:   -0.06 (deg),   Curve:   -0.01 (rads/m)
Time: 3.82 (s),   Velocity: 2.91 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.58 (m),   Y:  3.81 (m),   Rot: -0.0014 (rads),   Rot:   -0.08 (deg),   Curve:   -0.00 (rads/m)
Time: 3.84 (s),   Velocity: 2.84 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.65 (m),   Y:  3.81 (m),   Rot: -0.0017 (rads),   Rot:   -0.10 (deg),   Curve:   -0.00 (rads/m)
Time: 3.87 (s),   Velocity: 2.76 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.72 (m),   Y:  3.81 (m),   Rot: -0.0019 (rads),   Rot:   -0.11 (deg),   Curve:   -0.00 (rads/m)
Time: 3.90 (s),   Velocity: 2.68 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.79 (m),   Y:  3.81 (m),   Rot: -0.0021 (rads),   Rot:   -0.12 (deg),   Curve:   -0.00 (rads/m)
Time: 3.92 (s),   Velocity: 2.60 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.87 (m),   Y:  3.81 (m),   Rot: -0.0022 (rads),   Rot:   -0.13 (deg),   Curve:   -0.00 (rads/m)
Time: 3.95 (s),   Velocity: 2.51 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.94 (m),   Y:  3.81 (m),   Rot: -0.0023 (rads),   Rot:   -0.13 (deg),   Curve:   -0.00 (rads/m)
Time: 3.98 (s),   Velocity: 2.42 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.02 (m),   Y:  3.81 (m),   Rot: -0.0024 (rads),   Rot:   -0.14 (deg),   Curve:   -0.00 (rads/m)
Time: 4.02 (s),   Velocity: 2.32 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.09 (m),   Y:  3.81 (m),   Rot: -0.0024 (rads),   Rot:   -0.14 (deg),   Curve:    0.00 (rads/m)
Time: 4.05 (s),   Velocity: 2.22 (m/s),   Accel:  -3.00 (m/s/s),   X:  8.17 (m),   Y:  3.81 (m),   Rot: -0.0024 (rads),   Rot:   -0.13 (deg),   Curve:    0.00 (rads/m)
