Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 2.66 (s),   Velocity: 2.63 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.34 (m),   Y:  1.91 (m),   Rot: -1.0743 (rads),   Rot:  -61.56 (deg),   Curve:   -1.48 (rads/m)
Time: 2.67 (s),   Velocity: 2.61 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.36 (m),   Y:  1.88 (m),   Rot: -1.1356 (rads),   Rot:  -65.06 (deg),   Curve:   -1.48 (rads/m)
Time: 2.69 (s),   Velocity: 2.60 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.38 (m),   Y:  1.84 (m),   Rot: -1.1963 (rads),   Rot:  -68.54 (deg),   Curve:   -1.49 (rads/m)
Time: 2.71 (s),   Velocity: 2.58 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.39 (m),   Y:  1.80 (m),   Rot: -1.2565 (rads),   Rot:  -71.99 (deg),   Curve:   -1.50 (rads/m)
Time: 2.72 (s),   Velocity: 2.56 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.40 (m),   Y:  1.76 (m),   Rot: -1.3165 (rads),   Rot:  -75.43 (deg),   Curve:   -1.51 (rads/m)
Time: 2.74 (s),   Velocity: 2.55 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.41 (m),   Y:  1.72 (m),   Rot: -1.3762 (rads),   Rot:  -78.85 (deg),   Curve:   -1.52 (rads/m)
Time: 2.75 (s),   Velocity: 2.53 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.42 (m),   Y:  1.68 (m),   Rot: -1.4359 (rads),   Rot:  -82.27 (deg),   Curve:   -1.54 (rads/m)
Time: 2.77 (s),   Velocity: 2.52 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.42 (m),   Y:  1.65 (m),   Rot: -1.4957 (rads),   Rot:  -85.70 (deg),   Curve:   -1.56 (rads/m)
Time: 2.78 (s),   Velocity: 2.50 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.42 (m),   Y:  1.61 (m),   Rot: -1.5560 (rads),   Rot:  -89.15 (deg),   Curve:   -1.59 (rads/m)
Time: 2.80 (s),   Velocity: 2.49 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.42 (m),   Y:  1.57 (m),   Rot: -1.6168 (rads),   Rot:  -92.64 (deg),   Curve:   -1.63 (rads/m)
Time: 2.81 (s),   Velocity: 2.47 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.42 (m),   Y:  1.53 (m),   Rot: -1.6786 (rads),   Rot:  -96.18 (deg),   Curve:   -1.67 (rads/m)
Time: 2.83 (s),   Velocity: 2.46 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.42 (m),   Y:  1.50 (m),   Rot: -1.7415 (rads),   Rot:  -99.78 (deg),   Curve:   -1.73 (rads/m)
Time: 2.84 (s),   Velocity: 2.44 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.41 (m),   Y:  1.46 (m),   Rot: -1.8058 (rads),   Rot: -103.47 (deg),   Curve:   -1.79 (rads/m)
Time: 2.86 (s),   Velocity: 2.43 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.40 (m),   Y:  1.43 (m),   Rot: -1.8719 (rads),   Rot: -107.25 (deg),   Curve:   -1.86 (rads/m)
Time: 2.87 (s),   Velocity: 2.41 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.39 (m),   Y:  1.39 (m),   Rot: -1.9399 (rads),   Rot: -111.15 (deg),   Curve:   -1.94 (rads/m)
Time: 2.89 (s),   Velocity: 2.40 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.37 (m),   Y:  1.36 (m),   Rot: -2.0101 (rads),   Rot: -115.17 (deg),   Curve:   -2.02 (rads/m)
Time: 2.90 (s),   Velocity: 2.38 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.36 (m),   Y:  1.33 (m),   Rot: -2.0827 (rads),   Rot: -119.33 (deg),   Curve:   -2.11 (rads/m)
Time: 2.92 (s),   Velocity: 2.37 (m/s),   Accel:  -1.00 (m/s/s),   X:  4.34 (m),   Y:  1.30 (m),   Rot: -2.1579 (rads),   Rot: -123.64 (deg),   Curve:   -2.20 (rads/m)
Time: 2.93 (s),   Velocity: 2.35 (m/s),   Accel:   1.00 (m/s/s),   X:  4.32 (m),   Y:  1.27 (m),   Rot: -2.2357 (rads),   Rot: -128.09 (deg),   Curve:   -2.29 (rads/m)
Time: 2.95 (s),   Velocity: 2.37 (m/s),   Accel:   1.00 (m/s/s),   X:  4.30 (m),   Y:  1.24 (m),   Rot: -2.3133 (rads),   Rot: -132.54 (deg),   Curve:   -2.21 (rads/m)
